gutenberg_id,text,title,author
27081,Sonety,remove,Mickiewicz
27081,Adama Mickiewicza.,remove,Mickiewicz
27081,"    Quand' era in parte altr' uom da quel, ch'io sono",remove,Mickiewicz
27081,        Petrarca.,remove,Mickiewicz
27081,MOSKWA.,remove,Mickiewicz
27081,w Drukarni Uniwersystetu.,remove,Mickiewicz
27081,Nakładem Autora.,remove,Mickiewicz
27081,1826,remove,Mickiewicz
27081,"    Печатать дозволяется съ тѢмъ, чтобы по отпечатаніи, до выпуска въ",remove,Mickiewicz
27081,"    продажу, представлены были въ Цензурный Комитетъ: одинъ экземпляръ",remove,Mickiewicz
27081,"    сей книги для Цензурного Комитета, другой для Департамента",remove,Mickiewicz
27081,"    Министерства ПросвѢщенія, два экземпляра для Императорской Публичной",remove,Mickiewicz
27081,"    Библіотеки и одинъ для Императорской Академіи Наукъ. Москва, Октября",remove,Mickiewicz
27081,"    28го дня 1826 года. _Ординарный ПрофессорЪ, Статскій СовѢтникъ и",remove,Mickiewicz
27081,    Кавалеръ Михаилъ Каченовскій._,remove,Mickiewicz
27081,I.,remove,Mickiewicz
27081,DO LAURY,remove,Mickiewicz
27081,"Ledwiem ciebie zobaczył, jużem się zapłonił,",Sonety I.,Mickiewicz
27081,"W nieznaném oku dawnéj znajomości pytał,",Sonety I.,Mickiewicz
27081,I s twych jagód wzajemny rumieniec wykwitał,Sonety I.,Mickiewicz
27081,"Jak z róży, któréj piersi zaranek odsłonił.",Sonety I.,Mickiewicz
27081,"Ledwieś piosnkę zaczęła, jużem łzy uronił,",Sonety I.,Mickiewicz
27081,Twój głos wnikał do serca i za duszę chwytał;,Sonety I.,Mickiewicz
27081,"Zdało się że ją anioł po imieniu witał,",Sonety I.,Mickiewicz
27081,I w zegar niebios chwilę zbawienia zadzwonił.,Sonety I.,Mickiewicz
27081,"O luba! niech twe oczy przyznać się nie boją,",Sonety I.,Mickiewicz
27081,"Jeśli cię mém spojrzeniem, jeśli głosem wzruszę,",Sonety I.,Mickiewicz
27081,"Nie dbam że los i ludzie przeciwko nam stoją,",Sonety I.,Mickiewicz
27081,Że uciekać i kochać bez nadziei muszę.,Sonety I.,Mickiewicz
27081,"Niech ślub ziemski innego darzy ręką twoją,",Sonety I.,Mickiewicz
27081,Tylko wyznaj że Bóg mi poślubił twą duszę.,Sonety I.,Mickiewicz
27081,II.,remove,Mickiewicz
27081,"Mówię z sobą, z drugimi plączę się w rozmowie,",Sonety II. ,Mickiewicz
27081,"Serce bije gwałtownie, oddechem nie władnę,",Sonety II. ,Mickiewicz
