LanguageName,long,short,total,have_long,area
Northern Pomo,5,5,10,TRUE,North America
Norwegian,9,10,19,TRUE,Eurasia
NORWEGIAN,9,15,24,TRUE,Eurasia
Nubi,0,5,5,FALSE,Africa
Nuer,28,28,56,TRUE,Africa
Nyam,7,7,14,TRUE,Africa
Nyanga,0,7,7,FALSE,Africa
Nyeu,10,10,20,TRUE,Eurasia
Nyole,5,5,10,TRUE,Africa
Obolo,6,6,12,TRUE,Africa
Ocaina,0,18,18,FALSE,South America
OCAINA,0,9,9,FALSE,South America
OGBIA,0,10,10,FALSE,Africa
Oku,0,7,7,FALSE,Africa
Omagua,0,5,5,FALSE,South America
Oneida,6,6,12,TRUE,North America
Orma,5,5,10,TRUE,Africa
ORMURI,0,6,6,FALSE,Eurasia
Oro Win,0,6,6,FALSE,South America
Orokaiva,0,5,5,FALSE,Papua
Ossetian,0,9,9,FALSE,Eurasia
Otoro,0,14,14,FALSE,Africa
Otuho,10,10,20,TRUE,Africa
Pacahuara,0,4,4,FALSE,South America
PACOH,0,15,15,FALSE,Eurasia
Paez,0,10,10,FALSE,South America
PAEZ,0,8,8,FALSE,South America
Pai Tavytera,0,12,12,FALSE,South America
PAIWAN,0,4,4,FALSE,Papua
Palauan,6,6,12,TRUE,Papua
Panamint,6,7,13,TRUE,North America
Panare,0,7,7,FALSE,South America
PANARE,0,13,13,FALSE,South America
Pangwa,6,6,12,TRUE,Africa
Panobo,0,4,4,FALSE,South America
Paraujano,6,6,12,TRUE,South America
Patep,7,7,14,TRUE,Papua
Pengo,5,5,10,TRUE,Eurasia
Pero,5,5,10,TRUE,Africa
Petats,3,12,15,TRUE,Papua
Piapoco,0,4,4,FALSE,South America
Piaroa,0,7,7,FALSE,South America
Pichi,0,7,7,FALSE,Africa
Pinyin,6,13,19,TRUE,Africa
PIRAHA,0,3,3,FALSE,South America
Pisamira,0,6,6,FALSE,South America
POHNPEIAN,0,6,6,FALSE,Papua
Polish,0,6,6,FALSE,Eurasia
Pomo,5,6,11,TRUE,Africa
POMO,0,5,5,FALSE,Africa
Portuguese,0,15,15,FALSE,Eurasia
Principense,0,7,7,FALSE,Africa
Puinave,0,11,11,FALSE,South America
pulaar,5,5,10,TRUE,Africa
pular,5,5,10,TRUE,Africa
Puri,0,6,6,FALSE,South America
QAWASQAR,0,3,3,FALSE,South America
QUILEUTE,0,4,4,FALSE,North America
Rama,4,5,9,TRUE,North America
rendille,5,5,10,TRUE,Africa
RESIGARO,0,5,5,FALSE,South America
Reyesano,0,4,4,FALSE,South America
Rikbaktsa,0,14,14,FALSE,South America
ROMANIAN,0,10,10,FALSE,Eurasia
Ronga,0,5,5,FALSE,Africa
ROTOKAS,0,5,5,FALSE,Papua
RUKAI,0,4,4,FALSE,Papua
Rundi,0,5,5,FALSE,Africa
Russian,0,5,5,FALSE,Eurasia
RUSSIAN,0,5,5,FALSE,Eurasia
RUTUL,0,5,5,FALSE,Eurasia
Sa'ban,1,7,8,TRUE,Papua
SA'BAN,0,7,7,FALSE,Papua
Sabane,0,5,5,FALSE,South America
sabaot,8,10,18,TRUE,Africa
SAMA,0,6,6,FALSE,Africa
Samba Leko,0,9,9,FALSE,Africa
Samo,0,6,6,FALSE,Papua
San Martin Quechua,0,3,3,FALSE,South America
Sandawe,10,5,15,TRUE,Africa
SANDAWE,0,7,7,FALSE,Africa
SANGO,0,11,11,FALSE,Africa
Sanskrit,5,3,8,TRUE,Eurasia
Santali,1,10,11,TRUE,Eurasia
Saotomense,0,13,13,FALSE,Africa
Sasak,0,11,11,FALSE,Papua
Satawalese,5,8,13,TRUE,Papua
Savara,0,11,11,FALSE,Eurasia
SAVOSAVO,0,5,5,FALSE,Papua
Secoya,0,18,18,FALSE,South America
Sedang,0,14,14,FALSE,Eurasia
SEDANG,0,14,14,FALSE,Eurasia
Seimat,0,17,17,FALSE,Papua
Selaru,0,5,5,FALSE,Papua
Selepet,0,6,6,FALSE,Papua
SELEPET,0,6,6,FALSE,Papua
SELKUP,9,7,16,TRUE,Eurasia
Semelai,0,18,18,FALSE,Eurasia
Seneca,8,8,16,TRUE,North America
SENECA,0,8,8,FALSE,North America
Sentani,0,7,7,FALSE,Papua
SENTANI,0,7,7,FALSE,Papua
sereer,5,5,10,TRUE,Africa
Seri,4,4,8,TRUE,North America
Serrano,0,9,9,FALSE,North America
Shabo,5,8,13,TRUE,Africa
Shanenawa,0,8,8,FALSE,South America
Shanga,0,12,12,FALSE,Africa
Shanjo,0,5,5,FALSE,Africa
SHASTA,0,4,4,FALSE,North America
Shawi,0,4,4,FALSE,South America
Shawnee,2,4,6,TRUE,North America
Sherbro,0,7,7,FALSE,Africa
Shilluk,11,15,26,TRUE,Africa
Shina,6,7,13,TRUE,Eurasia
Shona,0,5,5,FALSE,Africa
Shuar,0,8,8,FALSE,South America
SHUSWAP,0,7,7,FALSE,North America
Siamou,0,14,14,FALSE,Africa
Siar-Lak,0,7,7,FALSE,Papua
Sindhi,1,29,30,TRUE,Eurasia
Siriano,0,12,12,FALSE,South America
Siriono,0,10,10,FALSE,South America
SIRIONO,0,12,12,FALSE,South America
Siwi,1,11,12,TRUE,Africa
Siwu,0,14,14,FALSE,Africa
Skou,0,7,7,FALSE,Papua
So,22,28,50,TRUE,Eurasia
Somali,10,10,20,TRUE,Africa
SOMALI,0,10,10,FALSE,Africa
Soo,0,10,10,FALSE,Africa
South Efate,0,5,5,FALSE,Papua
SOUTHERN KIWAI,0,7,7,FALSE,Papua
Southern Sama,0,6,6,FALSE,Papua
Spanish,0,5,5,FALSE,Eurasia
SPANISH,0,5,5,FALSE,Eurasia
Squamish,3,4,7,TRUE,North America
Subiya,0,5,5,FALSE,Africa
SUENA,0,5,5,FALSE,Papua
SUI,0,7,7,FALSE,Eurasia
Sukuma,7,7,14,TRUE,Africa
Sundanese,0,7,7,FALSE,Papua
Sursurunga,0,6,6,FALSE,Papua
swahili,0,5,5,FALSE,Africa
Swahili,0,5,5,FALSE,Africa
Swedish,8,9,17,TRUE,Eurasia
Syan,6,6,12,TRUE,Africa
Tacana,0,4,4,FALSE,South America
TACANA,0,4,4,FALSE,South America
Tachelhit,0,4,4,FALSE,Africa
Tadaksahak,5,6,11,TRUE,Africa
Tagalog,5,10,15,TRUE,Papua
TAGALOG,0,5,5,FALSE,Papua
tamasheq,7,14,21,TRUE,Africa
TAMASHEQ,5,7,12,TRUE,Africa
Tamil,10,13,23,TRUE,Eurasia
TAMPULMA,0,9,9,FALSE,Africa
Tanacross,4,10,14,TRUE,North America
Tangale,9,9,18,TRUE,Africa
Tapiete,0,12,12,FALSE,South America
Tariana,4,11,15,TRUE,South America
tarok,0,7,7,FALSE,Africa
TAROK,0,6,6,FALSE,Africa
Tatuyo,0,12,12,FALSE,South America
Taushiro,0,5,5,FALSE,South America
Tee,0,12,12,FALSE,Africa
Tehuelche,3,3,6,TRUE,South America
TEHUELCHE,0,7,7,FALSE,South America
Telefol,5,3,8,TRUE,Papua
Telugu,16,16,32,TRUE,Eurasia
TELUGU,6,5,11,TRUE,Eurasia
tem,0,9,9,FALSE,Africa
TEMEIN,0,7,7,FALSE,Africa
Tengger,0,22,22,FALSE,Papua
Tenharim,0,12,12,FALSE,South America
TERA,0,6,6,FALSE,Africa
Ternate,0,5,5,FALSE,Papua
Texistepec Popoluca,5,5,10,TRUE,North America
Thai,9,9,18,TRUE,Eurasia
THAI,0,9,9,FALSE,Eurasia
Tibetan,0,8,8,FALSE,Eurasia
Ticuna,0,29,29,FALSE,South America
TICUNA,0,11,11,FALSE,South America
TIGAK,0,5,5,FALSE,Papua
Tigre,5,2,7,TRUE,Africa
TIGRE,5,2,7,TRUE,Africa
Tigrinya,0,7,7,FALSE,Africa
tikar,6,8,14,TRUE,Africa
Tilquiapan Zapotec,0,6,6,FALSE,North America
Tinigua,6,12,18,TRUE,South America
Tinputz,6,8,14,TRUE,Papua
Tira,0,16,16,FALSE,Africa
TIRURAY,0,6,6,FALSE,Papua
Tiv,0,6,6,FALSE,Africa
Tiwi,0,4,4,FALSE,Australia
TIWI,0,4,4,FALSE,Australia
TLINGIT,0,5,5,FALSE,North America
Toda,3,12,15,TRUE,Eurasia
TOL,0,6,6,FALSE,North America
TONKAWA,5,5,10,TRUE,North America
toposa,0,9,9,FALSE,Africa
Torwali,0,13,13,FALSE,Eurasia
Totela,5,5,10,TRUE,Africa
Trinitario,6,6,12,TRUE,South America
Trumai,0,6,6,FALSE,South America
TRUMAI,0,6,6,FALSE,South America
Tshangla,0,5,5,FALSE,Eurasia
TSOU,0,6,6,FALSE,Papua
Tucano,0,12,12,FALSE,South America
Tuki,3,7,10,TRUE,Africa
Tulishi,9,10,19,TRUE,Africa
Tulu,5,7,12,TRUE,Eurasia
TULU,6,7,13,TRUE,Eurasia
Tunica,0,7,7,FALSE,North America
TUNICA,0,7,7,FALSE,North America
Tupuri,13,11,24,TRUE,Africa
Turkish,8,8,16,TRUE,Eurasia
TURKISH,0,8,8,FALSE,Eurasia
Tuyuca,0,12,12,FALSE,South America
Tzeltal,0,5,5,FALSE,North America
TZELTAL,0,6,6,FALSE,North America
"Tzotzil, Chamula",0,5,5,FALSE,North America
Ukrainian,0,6,6,FALSE,Eurasia
umbundu,0,10,10,FALSE,Africa
UPPER CHEHALIS,0,4,4,FALSE,North America
Urali,4,16,20,TRUE,Eurasia
Urarina,0,5,5,FALSE,South America
Urdu,4,15,19,TRUE,Eurasia
Uru,5,5,10,TRUE,South America
Uru-Eu-Wau-Wau,0,12,12,FALSE,South America
USAN,0,6,6,FALSE,Papua
Usarufa,0,5,5,FALSE,Papua
Vai,0,11,11,FALSE,Africa
Vame,0,5,5,FALSE,Africa
VANIMO,0,16,16,FALSE,Papua
Vietnamese,1,11,12,TRUE,Eurasia
VIETNAMESE,0,14,14,FALSE,Eurasia
Vilela,0,5,5,FALSE,South America
vute,8,16,24,TRUE,Africa
waama,14,11,25,TRUE,Africa
WAHGI,0,6,6,FALSE,Papua
Waimaha,0,12,12,FALSE,South America
Waiwai,0,6,6,FALSE,South America
Wambon,0,10,10,FALSE,Papua
wan,0,12,12,FALSE,Africa
WANTOAT,0,7,7,FALSE,Papua
Waorani,10,10,20,TRUE,South America
Wapishana,4,8,12,TRUE,South America
WAPISHANA,0,8,8,FALSE,South America
WAPPO,0,5,5,FALSE,North America
Warao,0,5,5,FALSE,South America
WARAO,0,10,10,FALSE,South America
Wari',0,6,6,FALSE,South America
WARIS,0,9,9,FALSE,Papua
Washo,0,6,6,FALSE,North America
Wawa,8,8,16,TRUE,Africa
Wayana,0,14,14,FALSE,South America
Weh,0,7,7,FALSE,Africa
WEST MAKIAN,0,6,6,FALSE,Papua
Wichita,4,4,8,TRUE,North America
WICHITA,4,4,8,TRUE,North America
WINTU,0,5,5,FALSE,North America
WIYOT,0,5,5,FALSE,North America
Wogeo,0,5,5,FALSE,Papua
wolof,7,9,16,TRUE,Africa
Wolof,7,7,14,TRUE,Africa
WOLOF,7,7,14,TRUE,Africa
Wongo,0,7,7,FALSE,Africa
Woun Meu,0,14,14,FALSE,South America
Xamtanga,0,7,7,FALSE,Africa
Xhosa,0,7,7,FALSE,Africa
Xipaya,0,9,9,FALSE,South America
Xokleng,0,18,18,FALSE,South America
Yabarana,0,7,7,FALSE,South America
YAGARIA,0,9,9,FALSE,Papua
Yagua,0,12,12,FALSE,South America
YAGUA,0,12,12,FALSE,South America
yala,0,7,7,FALSE,Africa
yamba,0,8,8,FALSE,Africa
Yameo,0,8,8,FALSE,South America
YANA,0,8,8,FALSE,North America
YANYUWA,0,3,3,FALSE,Australia
yao,0,7,7,FALSE,Africa
Yao,1,7,8,TRUE,Africa
Yapese,8,8,16,TRUE,Papua
YAQUI,0,5,5,FALSE,North America
YAREBA,0,5,5,FALSE,Papua
Yavitero,0,4,4,FALSE,South America
YAWA,0,5,5,FALSE,Papua
Yawanawa,0,4,4,FALSE,South America
yemba,0,8,8,FALSE,Africa
Yemba,0,7,7,FALSE,Africa
Yemsa,5,5,10,TRUE,Africa
YESSAN-MAYO,0,4,4,FALSE,Papua
Yeyi,5,8,13,TRUE,Africa
YIDINY,0,3,3,FALSE,Australia
Yil,0,11,11,FALSE,Papua
Yine,10,10,20,TRUE,South America
yom,0,9,9,FALSE,Africa
Yora,0,8,8,FALSE,South America
YORUBA,0,11,11,FALSE,Africa
Yuchi,13,13,26,TRUE,North America
YUCHI,0,8,8,FALSE,North America
Yucuna,0,5,5,FALSE,South America
YUCUNA,0,5,5,FALSE,South America
Yuhup,0,15,15,FALSE,South America
Yuki,0,6,6,FALSE,North America
YULU,0,7,7,FALSE,Africa
Yuqui,10,10,20,TRUE,South America
Yurok,6,6,12,TRUE,North America
Zaiwa,0,8,8,FALSE,Eurasia
zande,0,5,5,FALSE,Africa
Zulu,0,5,5,FALSE,Africa
ZULU,0,5,5,FALSE,Africa
Zuni,5,5,10,TRUE,North America
ZUNI,0,5,5,FALSE,North America
